名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs
小张车店,购物消费,其他,121.775383,31.338536,上海市,上海市,崇明区,121.77101946599684,31.340531918940684
高庄馒头,餐饮美食,小吃快餐,121.778179,31.341741,上海市,上海市,崇明区,121.77381929710761,31.343738480827376
圆东村新时代精神文明实践站,科教文化,其他,121.779516,31.341997,上海市,上海市,崇明区,121.77515834301263,31.343995766422534
农建村新时代文明实践,购物消费,其他,121.775997,31.338763,上海市,上海市,崇明区,121.77163432173404,31.34075940682858
中国福利彩票销售点,生活服务,彩票销售,121.777256,31.340262,上海市,上海市,崇明区,121.77289503470386,31.342259083155916
天能电池,购物消费,其他,121.775459,31.338642,上海市,上海市,崇明区,121.77109556451207,31.340637951155262
煌王劳动保护,购物消费,其他,121.778271,31.341406,上海市,上海市,崇明区,121.77391146561033,31.343403690666108
日用百货,购物消费,便利店,121.777468,31.340872,上海市,上海市,崇明区,121.77310729885987,31.3428690770979
都市恋人坊,购物消费,其他,121.777669,31.341407,上海市,上海市,崇明区,121.77330855457876,31.343404088261817
二手市场,购物消费,市场,121.777379,31.344732,上海市,上海市,崇明区,121.77301783881015,31.34672764623465
佳伟烟酒食品商行,购物消费,便利店,121.780887,31.341364,上海市,上海市,崇明区,121.77653158619478,31.34336445656435
瑶鑫食品商行,购物消费,便利店,121.778996,31.339867,上海市,上海市,崇明区,121.77463771136323,31.341865970766097
加工棉花胎,生活服务,其他,121.777879,31.343359,上海市,上海市,崇明区,121.77351870531551,31.34535561662072
垃圾桶,生活服务,其他,121.777879,31.340236,上海市,上海市,崇明区,121.773518970038,31.342233707176884
农建村党群建设服务中心,生活服务,其他,121.775787,31.338829,上海市,上海市,崇明区,121.77142401521603,31.340825187879336
雷允上,医疗保健,医药销售,121.777647,31.340709,上海市,上海市,崇明区,121.77328658071744,31.342706310820894
圣天移动通信,购物消费,家电数码,121.777886,31.341179,上海市,上海市,崇明区,121.77352590067646,31.34317638367549
亿源药房,医疗保健,医药销售,121.77773,31.340647,上海市,上海市,崇明区,121.77336971067596,31.342644414799587
小李车行台铃电动车,购物消费,其他,121.778411,31.342433,上海市,上海市,崇明区,121.77405159238856,31.344430473875548
诚信品牌手机直销店,购物消费,家电数码,121.777906,31.343142,上海市,上海市,崇明区,121.7735457644881,31.345138718968144
众鑫劳动保护百货,购物消费,其他,121.77836,31.342073,上海市,上海市,崇明区,121.7740005449219,31.34407054770819
上海凤圆五金商行,购物消费,家居建材,121.777582,31.341143,上海市,上海市,崇明区,121.77322144645348,31.343140094576892
长鑫电脑,购物消费,家电数码,121.778313,31.341932,上海市,上海市,崇明区,121.77395348509658,31.343929549349895
长兴五金配件工具,购物消费,家居建材,121.775347,31.338563,上海市,上海市,崇明区,121.77098341286417,31.340558876500403
博奥汽车美容养护站,汽车相关,汽车养护,121.777156,31.345574,上海市,上海市,崇明区,121.77279443596152,31.347569137561017
华新综合商行,购物消费,便利店,121.775373,31.338917,上海市,上海市,崇明区,121.77100941956287,31.340912775402746
OPPO,购物消费,家电数码,121.777994,31.343159,上海市,上海市,崇明区,121.7736338961445,31.345155801009458
张斌轮胎批发零售,汽车相关,汽车配件,121.776716,31.346647,上海市,上海市,崇明区,121.7723536965919,31.348641343047856
君澜超级市场,购物消费,便利店,121.789598,31.34669,上海市,上海市,崇明区,121.78525760018908,31.348699265607515
两元起售,购物消费,便利店,121.778097,31.341968,上海市,上海市,崇明区,121.77373715325851,31.343965319118663
长兴百货,购物消费,便利店,121.777351,31.341096,上海市,上海市,崇明区,121.77299010533541,31.34309288379187
乐乐批发店,购物消费,便利店,121.778028,31.341549,上海市,上海市,崇明区,121.77366808411917,31.34354639623951
长兴镇圆东村卫生院,医疗保健,诊所,121.778443,31.341585,上海市,上海市,崇明区,121.77408371324208,31.34358280226903
宝隆居家酒店,交通设施,停车场,121.778534,31.342195,上海市,上海市,崇明区,121.77417480103605,31.34419268185619
昊峰百货商行,购物消费,便利店,121.778891,31.339812,上海市,上海市,崇明区,121.77453255326674,31.341810881787467
康康批发店,购物消费,便利店,121.776849,31.340317,上海市,上海市,崇明区,121.77248742848879,31.342313669007964
江南门窗店,购物消费,家居建材,121.777159,31.345675,上海市,上海市,崇明区,121.77279743184434,31.347670105659404
江南五金劳保,购物消费,家居建材,121.776783,31.346894,上海市,上海市,崇明区,121.77242077389657,31.348888322548042
上海意达机电专业电动工具,购物消费,家居建材,121.777618,31.343596,上海市,上海市,崇明区,121.77325729247636,31.345592275174795
宋师傅门窗店,购物消费,家居建材,121.777099,31.346003,上海市,上海市,崇明区,121.77273731517064,31.3479979342958
上海勇盛建材商行,购物消费,家居建材,121.777483,31.345366,上海市,上海市,崇明区,121.7731219402934,31.347361529407365
